[2026-09-11 21:50:25,062] INFO django.server basehttp: "GET /static/css/design-system.css HTTP/1.1" 304 0
[2026-09-11 21:50:25,066] INFO django.server basehttp: "GET /static/css/home.css HTTP/1.1" 200 12829
[2026-09-11 22:01:54,488] INFO django.server basehttp: "GET /documents/ HTTP/1.1" 200 6159
[2026-09-11 22:01:54,501] INFO django.server basehttp: "GET /static/css/app-shell.css HTTP/1.1" 200 10067
[2026-09-11 22:01:54,504] INFO django.server basehttp: "GET /static/css/design-system.css HTTP/1.1" 304 0
[2026-09-11 22:01:59,172] INFO django.server basehttp: "GET / HTTP/1.1" 200 21878
[2026-09-11 22:01:59,183] INFO django.server basehttp: "GET /static/css/home.css HTTP/1.1" 304 0
[2026-09-11 22:02:10,585] INFO django.server basehttp: "GET /documents/ HTTP/1.1" 200 6159
[2026-09-11 22:02:23,269] INFO django.server basehttp: "GET / HTTP/1.1" 200 21878
[2026-09-11 22:03:33,553] INFO django.server basehttp: "GET / HTTP/1.1" 200 21286
[2026-09-11 22:03:33,568] INFO django.server basehttp: "GET /static/css/design-system.css HTTP/1.1" 304 0
[2026-09-11 22:03:33,574] INFO django.server basehttp: "GET /static/css/home.css HTTP/1.1" 200 12237
[2026-09-11 22:03:33,597] WARNING django.server basehttp: "GET /static/img/standards/egat-no5.png HTTP/1.1" 404 1837
[2026-09-11 22:03:33,889] WARNING django.server basehttp: "GET /static/img/standards/tisi.png HTTP/1.1" 404 1825
[2026-09-11 22:03:33,970] WARNING django.server basehttp: "GET /static/img/standards/ilac-nsc.png HTTP/1.1" 404 1837
[2026-09-11 22:03:33,977] WARNING django.server basehttp: "GET /static/img/standards/ahri.png HTTP/1.1" 404 1825
[2026-09-11 22:03:34,058] WARNING django.server basehttp: "GET /favicon.ico HTTP/1.1" 404 3739
[2026-09-11 22:03:47,873] INFO django.server basehttp: "GET / HTTP/1.1" 200 21286
[2026-09-11 22:03:47,892] WARNING django.server basehttp: "GET /static/img/standards/egat-no5.png HTTP/1.1" 404 1837
[2026-09-11 22:03:47,928] INFO django.server basehttp: "GET /static/css/home.css HTTP/1.1" 200 12237
[2026-09-11 22:03:47,943] WARNING django.server basehttp: "GET /static/img/standards/tisi.png HTTP/1.1" 404 1825
[2026-09-11 22:03:47,948] WARNING django.server basehttp: "GET /static/img/standards/ilac-nsc.png HTTP/1.1" 404 1837
[2026-09-11 22:03:47,950] WARNING django.server basehttp: "GET /static/img/standards/ahri.png HTTP/1.1" 404 1825
[2026-09-11 22:04:17,609] INFO django.server basehttp: "GET / HTTP/1.1" 200 21286
[2026-09-11 22:04:17,631] WARNING django.server basehttp: "GET /static/img/standards/tisi.png HTTP/1.1" 404 1825
[2026-09-11 22:04:17,658] INFO django.server basehttp: "GET /static/css/home.css HTTP/1.1" 304 0
[2026-09-11 22:04:17,667] WARNING django.server basehttp: "GET /static/img/standards/egat-no5.png HTTP/1.1" 404 1837
[2026-09-11 22:04:17,691] WARNING django.server basehttp: "GET /static/img/standards/ahri.png HTTP/1.1" 404 1825
[2026-09-11 22:04:17,691] WARNING django.server basehttp: "GET /static/img/standards/ilac-nsc.png HTTP/1.1" 404 1837
[2026-09-11 22:05:12,134] INFO django.server basehttp: "GET / HTTP/1.1" 200 21286
[2026-09-11 22:05:12,160] INFO django.server basehttp: "GET /static/css/home.css HTTP/1.1" 304 0
[2026-09-11 22:05:12,186] WARNING django.server basehttp: "GET /static/img/standards/egat-no5.png HTTP/1.1" 404 1837
[2026-09-11 22:05:12,196] WARNING django.server basehttp: "GET /static/img/standards/tisi.png HTTP/1.1" 404 1825
[2026-09-11 22:05:12,241] WARNING django.server basehttp: "GET /static/img/standards/ilac-nsc.png HTTP/1.1" 404 1837
[2026-09-11 22:05:12,244] WARNING django.server basehttp: "GET /static/img/standards/ahri.png HTTP/1.1" 404 1825
[2026-09-11 22:07:22,555] INFO django.server basehttp: "GET / HTTP/1.1" 200 21286
[2026-09-11 22:07:22,569] INFO django.server basehttp: "GET /static/css/home.css HTTP/1.1" 304 0
[2026-09-11 22:07:22,583] INFO django.server basehttp: "GET /static/img/standards/tisi.png HTTP/1.1" 200 3253
[2026-09-11 22:07:22,588] INFO django.server basehttp: "GET /static/img/standards/egat-no5.png HTTP/1.1" 200 209103
[2026-09-11 22:07:22,595] INFO django.server basehttp: "GET /static/img/standards/ahri.png HTTP/1.1" 200 6411
[2026-09-11 22:07:22,600] INFO django.server basehttp: "GET /static/img/standards/ilac-nsc.png HTTP/1.1" 200 102245
[2026-09-11 22:09:40,816] INFO django.server basehttp: "GET / HTTP/1.1" 200 21286
[2026-09-11 22:09:40,833] INFO django.server basehttp: "GET /static/css/home.css HTTP/1.1" 200 12248
[2026-09-11 22:09:40,839] INFO django.server basehttp: "GET /static/img/standards/egat-no5.png HTTP/1.1" 200 209103
[2026-09-11 22:09:40,842] INFO django.server basehttp: "GET /static/img/standards/tisi.png HTTP/1.1" 200 3253
[2026-09-11 22:09:40,846] INFO django.server basehttp: "GET /static/img/standards/ilac-nsc.png HTTP/1.1" 200 102245
[2026-09-11 22:09:40,849] INFO django.server basehttp: "GET /static/img/standards/ahri.png HTTP/1.1" 200 6411
[2026-09-11 22:09:40,974] WARNING django.server basehttp: "GET /favicon.ico HTTP/1.1" 404 3739
[2026-09-11 22:10:19,513] INFO django.server basehttp: "GET / HTTP/1.1" 200 21286
[2026-09-11 22:10:19,525] INFO django.server basehttp: "GET /static/css/design-system.css HTTP/1.1" 304 0
[2026-09-11 22:10:19,526] INFO django.server basehttp: "GET /static/css/home.css HTTP/1.1" 200 12248
[2026-09-11 22:10:19,530] INFO django.server basehttp: "GET /static/img/standards/egat-no5.png HTTP/1.1" 304 0
[2026-09-11 22:10:19,531] INFO django.server basehttp: "GET /static/img/standards/tisi.png HTTP/1.1" 304 0
[2026-09-11 22:10:19,533] INFO django.server basehttp: "GET /static/img/standards/ilac-nsc.png HTTP/1.1" 304 0
[2026-09-11 22:10:19,533] INFO django.server basehttp: "GET /static/img/standards/ahri.png HTTP/1.1" 304 0
[2026-09-11 22:17:17,895] WARNING django.server basehttp: "GET /favicon.ico HTTP/1.1" 404 3739
[2026-09-11 22:18:07,941] INFO django.server basehttp: "GET / HTTP/1.1" 200 20243
[2026-09-11 22:18:10,791] INFO django.server basehttp: "GET / HTTP/1.1" 200 20243
[2026-09-11 22:18:10,803] INFO django.server basehttp: "GET /static/img/standards/egat-no5.png HTTP/1.1" 304 0
[2026-09-11 22:18:10,804] INFO django.server basehttp: "GET /static/css/home.css HTTP/1.1" 200 11842
[2026-09-11 22:18:10,808] INFO django.server basehttp: "GET /static/img/standards/tisi.png HTTP/1.1" 304 0
[2026-09-11 22:18:10,808] INFO django.server basehttp: "GET /static/img/standards/ilac-nsc.png HTTP/1.1" 304 0
[2026-09-11 22:18:10,810] INFO django.server basehttp: "GET /static/img/standards/ahri.png HTTP/1.1" 304 0
[2026-09-11 22:18:14,029] INFO django.server basehttp: "GET / HTTP/1.1" 200 20243
[2026-09-11 22:18:14,048] INFO django.server basehttp: "GET /static/css/design-system.css HTTP/1.1" 304 0
[2026-09-11 22:18:14,052] INFO django.server basehttp: "GET /static/css/home.css HTTP/1.1" 200 11842
[2026-09-11 22:18:14,054] INFO django.server basehttp: "GET /static/img/standards/egat-no5.png HTTP/1.1" 304 0
[2026-09-11 22:18:14,056] INFO django.server basehttp: "GET /static/img/standards/ilac-nsc.png HTTP/1.1" 304 0
[2026-09-11 22:18:14,057] INFO django.server basehttp: "GET /static/img/standards/tisi.png HTTP/1.1" 304 0
[2026-09-11 22:18:14,059] INFO django.server basehttp: "GET /static/img/standards/ahri.png HTTP/1.1" 304 0
[2026-09-11 22:18:14,156] WARNING django.server basehttp: "GET /favicon.ico HTTP/1.1" 404 3739
[2026-09-11 22:22:53,807] INFO django.server basehttp: "GET / HTTP/1.1" 200 19590
[2026-09-11 22:22:53,843] INFO django.server basehttp: "GET /static/img/standards/egat-no5.png HTTP/1.1" 304 0
[2026-09-11 22:22:53,843] INFO django.server basehttp: "GET /static/css/home.css HTTP/1.1" 200 12109
[2026-09-11 22:22:53,850] INFO django.server basehttp: "GET /static/img/standards/tisi.png HTTP/1.1" 304 0
[2026-09-11 22:22:53,852] INFO django.server basehttp: "GET /static/img/standards/ahri.png HTTP/1.1" 304 0
[2026-09-11 22:22:53,856] INFO django.server basehttp: "GET /static/img/standards/ilac-nsc.png HTTP/1.1" 304 0
[2026-09-11 22:22:53,973] WARNING django.server basehttp: "GET /favicon.ico HTTP/1.1" 404 3739
[2026-09-11 22:23:33,166] INFO django.server basehttp: "GET / HTTP/1.1" 200 19590
[2026-09-11 22:23:33,177] INFO django.server basehttp: "GET /static/css/design-system.css HTTP/1.1" 304 0
[2026-09-11 22:23:33,180] INFO django.server basehttp: "GET /static/css/home.css HTTP/1.1" 200 12109
[2026-09-11 22:23:33,184] INFO django.server basehttp: "GET /static/img/standards/egat-no5.png HTTP/1.1" 304 0
[2026-09-11 22:23:33,185] INFO django.server basehttp: "GET /static/img/standards/tisi.png HTTP/1.1" 304 0
[2026-09-11 22:23:33,188] INFO django.server basehttp: "GET /static/img/standards/ahri.png HTTP/1.1" 304 0
[2026-09-11 22:23:33,188] INFO django.server basehttp: "GET /static/img/standards/ilac-nsc.png HTTP/1.1" 304 0
[2026-09-11 22:23:33,839] INFO django.server basehttp: "GET / HTTP/1.1" 200 19590
[2026-09-12 13:45:17,296] INFO django.utils.autoreload autoreload: Watching for file changes with StatReloader
[2026-09-12 13:45:17,696] INFO django.server basehttp: "GET / HTTP/1.1" 200 19590
[2026-09-12 13:45:17,934] INFO django.server basehttp: "GET /static/css/design-system.css HTTP/1.1" 200 6655
[2026-09-12 13:45:17,937] INFO django.server basehttp: "HEAD / HTTP/1.1" 200 0
[2026-09-12 13:45:17,964] INFO django.server basehttp: "GET /static/img/standards/egat-no5.png HTTP/1.1" 200 209103
[2026-09-12 13:45:17,976] INFO django.server basehttp: "GET / HTTP/1.1" 200 19590
[2026-09-12 13:45:17,995] INFO django.server basehttp: - Broken pipe from ('127.0.0.1', 61134)
[2026-09-12 13:45:18,009] INFO django.server basehttp: - Broken pipe from ('127.0.0.1', 64250)
[2026-09-12 13:45:18,106] INFO django.server basehttp: "GET /static/css/home.css HTTP/1.1" 200 12109
[2026-09-12 13:45:18,112] INFO django.server basehttp: "GET /static/img/standards/tisi.png HTTP/1.1" 200 3253
[2026-09-12 13:45:18,120] INFO django.server basehttp: "GET /static/img/standards/ahri.png HTTP/1.1" 200 6411
[2026-09-12 13:45:18,251] INFO django.server basehttp: "GET /static/img/standards/ilac-nsc.png HTTP/1.1" 200 102245
[2026-09-12 13:45:18,566] WARNING django.server basehttp: "GET /favicon.ico HTTP/1.1" 404 3739
[2026-09-12 13:45:34,545] INFO django.server basehttp: "GET / HTTP/1.1" 200 19590
[2026-09-12 13:45:34,958] INFO django.server basehttp: "GET /static/css/design-system.css HTTP/1.1" 304 0
[2026-09-12 13:45:34,984] INFO django.server basehttp: "GET /static/css/home.css HTTP/1.1" 304 0
[2026-09-12 13:45:34,988] INFO django.server basehttp: "GET /static/img/standards/egat-no5.png HTTP/1.1" 304 0
[2026-09-12 13:45:35,001] INFO django.server basehttp: "GET /static/img/standards/tisi.png HTTP/1.1" 304 0
[2026-09-12 13:45:35,564] INFO django.server basehttp: "GET /static/img/standards/ahri.png HTTP/1.1" 304 0
[2026-09-12 13:45:35,572] INFO django.server basehttp: "GET /static/img/standards/ilac-nsc.png HTTP/1.1" 304 0
[2026-09-12 13:45:36,650] WARNING django.server basehttp: "GET /favicon.ico HTTP/1.1" 404 3739
[2026-09-12 13:58:17,637] INFO django.server basehttp: "GET /documents/ HTTP/1.1" 200 6159
[2026-09-12 13:58:17,647] INFO django.server basehttp: "GET /static/css/app-shell.css HTTP/1.1" 304 0
[2026-09-12 13:58:20,722] INFO django.server basehttp: "GET / HTTP/1.1" 200 19584
[2026-09-12 13:58:57,272] INFO django.server basehttp: "GET /documents/ HTTP/1.1" 200 6159
[2026-09-12 13:58:57,975] INFO django.server basehttp: "GET / HTTP/1.1" 200 19549
[2026-09-12 13:58:58,105] WARNING django.server basehttp: "GET /favicon.ico HTTP/1.1" 404 3739
[2026-09-12 13:58:59,894] INFO django.server basehttp: "GET /login/ HTTP/1.1" 200 3737
[2026-09-12 13:59:15,769] INFO django.server basehttp: "POST /login/ HTTP/1.1" 200 4227
[2026-09-12 13:59:25,123] INFO django.server basehttp: "POST /login/ HTTP/1.1" 200 4227
[2026-09-12 13:59:32,218] INFO django.server basehttp: "POST /login/ HTTP/1.1" 200 4227
[2026-09-12 14:00:02,504] INFO django.server basehttp: "POST /login/ HTTP/1.1" 200 4227
[2026-09-12 14:00:09,429] INFO django.server basehttp: "POST /login/ HTTP/1.1" 200 4221
[2026-09-12 14:00:11,985] INFO django.server basehttp: "GET / HTTP/1.1" 200 19549
[2026-09-12 14:00:18,992] INFO django.server basehttp: "GET / HTTP/1.1" 200 19549
[2026-09-12 14:04:25,117] INFO django.server basehttp: "GET /login/ HTTP/1.1" 200 3737
[2026-09-12 14:04:29,815] INFO django.server basehttp: "GET /login/ HTTP/1.1" 200 3737
[2026-09-12 14:04:35,970] INFO django.server basehttp: "GET / HTTP/1.1" 200 19564
[2026-09-12 14:04:37,129] INFO django.server basehttp: "GET /login/ HTTP/1.1" 200 3737
[2026-09-12 14:04:39,954] INFO django.server basehttp: "GET / HTTP/1.1" 200 19564
[2026-09-12 14:04:41,547] INFO django.server basehttp: "GET /login/ HTTP/1.1" 200 3737
[2026-09-12 14:04:45,963] INFO django.server basehttp: "GET / HTTP/1.1" 200 19564
[2026-09-12 14:04:55,360] INFO django.server basehttp: "GET / HTTP/1.1" 200 19628
[2026-09-12 14:04:55,444] WARNING django.server basehttp: "GET /favicon.ico HTTP/1.1" 404 3739
[2026-09-12 14:05:37,004] INFO django.server basehttp: "GET / HTTP/1.1" 200 19628
[2026-09-12 14:06:53,904] INFO django.server basehttp: "GET /login/ HTTP/1.1" 200 3737
[2026-09-12 14:07:09,091] INFO django.server basehttp: "GET /login/ HTTP/1.1" 200 3737
[2026-09-12 14:07:09,136] WARNING django.server basehttp: "GET /favicon.ico HTTP/1.1" 404 3739
[2026-09-12 14:07:29,283] INFO django.server basehttp: "POST /login/ HTTP/1.1" 302 0
[2026-09-12 14:07:29,306] INFO django.server basehttp: "GET /documents/ HTTP/1.1" 200 7197
[2026-09-12 14:07:29,338] INFO django.server basehttp: "GET /static/css/app-shell.css HTTP/1.1" 200 10067
[2026-09-12 14:07:29,480] WARNING django.server basehttp: "GET /favicon.ico HTTP/1.1" 404 3739
[2026-09-12 14:07:50,674] INFO django.server basehttp: "POST /login/ HTTP/1.1" 302 0
[2026-09-12 14:07:50,687] INFO django.server basehttp: "GET /documents/ HTTP/1.1" 200 7197
[2026-09-12 14:07:59,346] INFO django.server basehttp: "GET /dashboard/ HTTP/1.1" 200 9662
[2026-09-12 14:08:01,317] INFO django.server basehttp: "GET /employees/ HTTP/1.1" 200 4483
[2026-09-12 14:08:02,165] INFO django.server basehttp: "GET /certificates/ HTTP/1.1" 200 4401
[2026-09-12 14:08:02,467] INFO django.server basehttp: "GET /monitoring/ HTTP/1.1" 200 4431
[2026-09-12 14:08:02,960] INFO django.server basehttp: "GET /accounts/users/ HTTP/1.1" 200 6547
[2026-09-12 14:08:03,448] INFO django.server basehttp: "GET /audit/ HTTP/1.1" 200 7567
[2026-09-12 14:08:03,838] INFO django.server basehttp: "GET /monitoring/ HTTP/1.1" 200 4431
[2026-09-12 14:08:04,166] INFO django.server basehttp: "GET /certificates/ HTTP/1.1" 200 4401
[2026-09-12 14:08:04,425] INFO django.server basehttp: "GET /employees/ HTTP/1.1" 200 4483
[2026-09-12 14:08:04,699] INFO django.server basehttp: "GET /documents/ HTTP/1.1" 200 7197
[2026-09-12 14:08:05,364] INFO django.server basehttp: "GET /dashboard/ HTTP/1.1" 200 9662
[2026-09-12 14:08:06,103] INFO django.server basehttp: "GET / HTTP/1.1" 200 19980
[2026-09-12 14:08:09,954] INFO django.server basehttp: "GET /documents/ HTTP/1.1" 200 7197
[2026-09-12 14:08:11,445] INFO django.server basehttp: "GET /employees/ HTTP/1.1" 200 4483
[2026-09-12 14:08:12,277] INFO django.server basehttp: "GET /certificates/ HTTP/1.1" 200 4401
[2026-09-12 14:08:12,705] INFO django.server basehttp: "GET /monitoring/ HTTP/1.1" 200 4431
[2026-09-12 14:08:13,102] INFO django.server basehttp: "GET /accounts/users/ HTTP/1.1" 200 6547
[2026-09-12 14:08:13,877] INFO django.server basehttp: "GET /audit/ HTTP/1.1" 200 7567
[2026-09-12 14:08:14,212] INFO django.server basehttp: "GET /monitoring/ HTTP/1.1" 200 4431
[2026-09-12 14:08:14,471] INFO django.server basehttp: "GET /certificates/ HTTP/1.1" 200 4401
[2026-09-12 14:08:15,697] INFO django.server basehttp: "GET / HTTP/1.1" 200 19980
[2026-09-12 14:08:17,525] INFO django.server basehttp: "GET /documents/ HTTP/1.1" 200 7197
[2026-09-12 14:08:27,206] INFO django.server basehttp: "GET /accounts/users/ HTTP/1.1" 200 6547
[2026-09-12 14:08:29,385] INFO django.server basehttp: "GET /accounts/users/1/edit/ HTTP/1.1" 200 13913
[2026-09-12 14:08:37,585] INFO django.server basehttp: "POST /accounts/users/1/edit/ HTTP/1.1" 302 0
[2026-09-12 14:08:37,609] INFO django.server basehttp: "GET /accounts/users/ HTTP/1.1" 302 0
[2026-09-12 14:08:37,613] INFO django.server basehttp: "GET /login/?next=/accounts/users/ HTTP/1.1" 200 3920
[2026-09-12 14:08:50,173] INFO django.server basehttp: "POST /login/?next=/accounts/users/ HTTP/1.1" 302 0
[2026-09-12 14:08:50,183] INFO django.server basehttp: "GET /accounts/users/ HTTP/1.1" 200 6547
[2026-09-12 14:09:17,990] INFO django.server basehttp: "GET /monitoring/ HTTP/1.1" 200 4431
[2026-09-12 14:09:19,016] INFO django.server basehttp: "GET /audit/ HTTP/1.1" 200 8140
[2026-09-12 14:09:19,671] INFO django.server basehttp: "GET /documents/ HTTP/1.1" 200 7197
[2026-09-12 14:09:20,848] INFO django.server basehttp: "GET / HTTP/1.1" 200 19980
[2026-09-12 14:09:30,247] INFO django.server basehttp: "GET /documents/ HTTP/1.1" 200 7197
[2026-09-12 14:09:41,507] INFO django.server basehttp: "GET /audit/ HTTP/1.1" 200 8140
[2026-09-12 14:09:44,735] INFO django.server basehttp: "POST /logout/ HTTP/1.1" 302 0
[2026-09-12 14:09:44,741] INFO django.server basehttp: "GET / HTTP/1.1" 200 19628
[2026-09-12 14:09:46,516] INFO django.server basehttp: "GET /login/ HTTP/1.1" 200 3876
[2026-09-12 14:09:52,739] INFO django.server basehttp: "GET / HTTP/1.1" 200 19628
[2026-09-12 14:15:02,859] INFO django.server basehttp: "GET /documents/ HTTP/1.1" 200 6159
[2026-09-12 14:15:07,462] INFO django.server basehttp: "GET / HTTP/1.1" 200 19628
[2026-09-12 14:15:08,506] INFO django.server basehttp: "GET /login/ HTTP/1.1" 200 4865
[2026-09-12 14:15:42,022] INFO django.server basehttp: "GET / HTTP/1.1" 200 19628
[2026-09-12 14:15:44,816] INFO django.server basehttp: "GET /documents/ HTTP/1.1" 200 6159
